genre,cluster,Label 1,Label 2,Label 3,,
canadian hip hop,g6,hip hop,,,,
canadian indigenous hip hop,g6,hip hop,,,,
chinese hip hop,g6,hip hop,,,,
christian hip hop,g6,hip hop,,,,
cologne hip hop,g6,hip hop,,,,
colombian hip hop,g6,hip hop,,,,
conscious hip hop,g6,hip hop,,,,
czech hip hop,g6,hip hop,,,,
czsk hip hop,g6,hip hop,,,,
danish hip hop,g6,hip hop,,,,
deep east coast hip hop,g6,hip hop,,,,
deep german hip hop,g6,hip hop,,,,
deep underground hip hop,g6,hip hop,,,,
desi hip hop,g6,hip hop,,,,
detroit hip hop,g6,hip hop,,,,
dutch hip hop,g6,hip hop,,,,
east coast hip hop,g6,hip hop,,,,
estonian hip hop,g6,hip hop,,,,
experimental hip hop,g6,hip hop,,,,
finnish hip hop,g6,hip hop,,,,
flint hip hop,g6,hip hop,,,,
french hip hop,g6,hip hop,,,,
german hip hop,g6,hip hop,,,,
ghanaian hip hop,g6,hip hop,,,,
gothenburg hip hop,g6,hip hop,,,,
greek hip hop,g6,hip hop,,,,
hamburg hip hop,g6,hip hop,,,,
hardcore hip hop,g6,hip hop,,,,
harlem hip hop,g6,hip hop,,,,
hawaiian hip hop,g6,hip hop,,,,
hindi hip hop,g6,hip hop,,,,
hip hop,g6,hip hop,,,,
hip hop boliviano,g6,hip hop,,,,
hip hop cubano,g6,hip hop,,,,
hip hop quebecois,g6,hip hop,,,,
hip hop tuga,g6,hip hop,,,,
hong kong hip hop,g6,hip hop,,,,
hungarian hip hop,g6,hip hop,,,,
icelandic hip hop,g6,hip hop,,,,
indiana hip hop,g6,hip hop,,,,
indie hip hop,g6,hip hop,indie,,,
indonesian hip hop,g6,hip hop,,,,
industrial hip hop,g6,hip hop,industrial,,,
iowa hip hop,g6,hip hop,,,,
irish hip hop,g6,hip hop,,,,
israeli hip hop,g6,hip hop,,,,
italian hip hop,g6,hip hop,,,,
italian underground hip hop,g6,hip hop,,,,
jewish hip hop,g6,hip hop,,,,
kannada hip hop,g6,hip hop,,,,
kansas city hip hop,g6,hip hop,,,,
kentucky hip hop,g6,hip hop,,,,
kurdish hip hop,g6,hip hop,,,,
latin hip hop,g6,hip hop,latin,,,
latvian hip hop,g6,hip hop,,,,
lgbtq+ hip hop,g6,hip hop,,,,
lithuanian hip hop,g6,hip hop,,,,
maine hip hop,g6,hip hop,,,,
malaysian hip hop,g6,hip hop,,,,
manchester hip hop,g6,hip hop,,,,
memphis hip hop,g6,hip hop,,,,
mexican hip hop,g6,hip hop,,,,
miami hip hop,g6,hip hop,,,,
milwaukee hip hop,g6,hip hop,,,,
minnesota hip hop,g6,hip hop,,,,
mississippi hip hop,g6,hip hop,,,,
nashville hip hop,g6,hip hop,,,,
native american hip hop,g6,hip hop,,,,
nigerian hip hop,g6,hip hop,,,,
north carolina hip hop,g6,hip hop,,,,
norwegian hip hop,g6,hip hop,,,,
nz hip hop,g6,hip hop,,,,
oakland hip hop,g6,hip hop,,,,
ohio hip hop,g6,hip hop,,,,
old school hip hop,g6,hip hop,,,,
old school uk hip hop,g6,hip hop,,,,
pakistani hip hop,g6,hip hop,,,,
peruvian hip hop,g6,hip hop,,,,
pinoy hip hop,g6,hip hop,,,,
polish hip hop,g6,hip hop,,,,
political hip hop,g6,hip hop,,,,
polynesian hip hop,g6,hip hop,,,,
portland hip hop,g6,hip hop,,,,
psychedelic hip hop,g6,hip hop,,,,
punjabi hip hop,g6,hip hop,,,,
queens hip hop,g6,hip hop,,,,
russian hip hop,g6,hip hop,,,,
sacramento hip hop,g6,hip hop,,,,
seattle hip hop,g6,hip hop,,,,
singaporean hip hop,g6,hip hop,,,,
slovak hip hop,g6,hip hop,,,,
south african hip hop,g6,hip hop,,,,
south carolina hip hop,g6,hip hop,,,,
southern hip hop,g6,hip hop,,,,
spanish hip hop,g6,hip hop,,,,
swedish hip hop,g6,hip hop,,,,
swiss hip hop,g6,hip hop,,,,
taiwan hip hop,g6,hip hop,,,,
tamil hip hop,g6,hip hop,,,,
telugu hip hop,g6,hip hop,,,,
tennessee hip hop,g6,hip hop,,,,
thai hip hop,g6,hip hop,,,,
turkish hip hop,g6,hip hop,,,,
uk alternative hip hop,g6,hip hop,alternative,,,
uk hip hop,g6,hip hop,,,,
ukrainian hip hop,g6,hip hop,,,,
underground hip hop,g6,hip hop,,,,
venezuelan hip hop,g6,hip hop,,,,
vietnamese hip hop,g6,hip hop,,,,
virginia hip hop,g6,hip hop,,,,
west australian hip hop,g6,hip hop,,,,
west-vlaamse hip hop,g6,hip hop,,,,
acid house,g6,edm,house,,,
afro house,g6,edm,house,,,
ambient house,g6,edm,house,,,
australian house,g6,edm,house,,,
barrelhouse piano,g7,edm,house,,,
bass house,g6,edm,house,,,
beach house,g6,edm,house,,,
bouncy house,g6,edm,house,,,
brazilian house,g6,edm,house,,,
canadian house,g6,edm,house,,,
chicago house,g6,edm,house,,,
classic progressive house,g6,edm,house,,,
deep disco house,g6,edm,house,disco,,
deep euro house,g6,edm,house,,,
deep groove house,g6,edm,house,groove,,
deep house,g6,edm,house,,,
deep tech house,g6,edm,house,,,
deep tropical house,g6,edm,house,,,
detroit house,g6,edm,house,,,
disco house,g6,edm,house,disco,,
diva house,g6,edm,house,,,
dutch house,g6,edm,house,,,
electro house,g6,edm,house,,,
experimental house,g6,edm,house,,,
fidget house,g6,edm,house,,,
filter house,g6,edm,house,,,
float house,g6,edm,house,,,
future house,g6,edm,house,,,
garage house,g6,edm,house,,,
german house,g6,edm,house,,,
greek house,g6,edm,house,,,
hip house,g6,edm,house,,,
house,g6,edm,house,,,
italo house,g6,edm,house,,,
latin house,g6,edm,house,,,
lo-fi house,g6,edm,house,,,
microhouse,g7,edm,house,,house,
minimal tech house,g6,edm,house,,,
nordic house,g6,edm,house,,,
outsider house,g7,edm,house,,house,
progressive electro house,g6,edm,house,,,
progressive house,g6,edm,house,,,
south african house,g6,edm,house,,,
swedish house,g6,edm,house,,,
swedish tropical house,g6,edm,house,,,
tech house,g6,edm,house,,,
tribal house,g6,edm,house,,,
tropical house,g6,edm,house,,,
uk house,g6,edm,house,,,
vocal house,g6,edm,house,vocal,,
witch house,g6,edm,house,,,
alabama indie,g6,indie,,,,
alaska indie,g6,indie,,,,
albuquerque indie,g6,indie,,,,
ann arbor indie,g6,indie,,,,
argentine indie,g6,indie,,,,
arkansas indie,g6,indie,,,,
asbury park indie,g6,indie,,,,
asheville indie,g6,indie,,,,
athens indie,g7,indie,,,,indie
atlanta indie,g6,indie,,,,
auckland indie,g6,indie,,,,
austindie,g6,indie,,,,
australian indie,g6,indie,,,,
austrian indie,g6,indie,,,,
baltimore indie,g7,indie,,,,indie
bath indie,g6,indie,,,,
baton rouge indie,g6,indie,,,,
bay area indie,g6,indie,,,,
belarusian indie,g6,indie,,,,
belgian indie,g6,indie,,,,
belo horizonte indie,g6,indie,,,,
bergamo indie,g6,indie,,,,
bergen indie,g6,indie,,,,
birmingham indie,g6,indie,,,,
bosnian indie,g6,indie,,,,
boston indie,g6,indie,,,,
brazilian indie,g6,indie,,,,
brighton indie,g6,indie,,,,
brisbane indie,g6,indie,,,,
bristol indie,g6,indie,,,,
brooklyn indie,g6,indie,,,,
buffalo ny indie,g6,indie,,,,
cambridgeshire indie,g6,indie,,,,
canadian indie,g6,indie,,,,
cape town indie,g6,indie,,,,
caracas indie,g6,indie,,,,
channel islands indie,g6,indie,,,,
charlotte nc indie,g6,indie,,,,
charlottesville indie,g6,indie,,,,
chattanooga indie,g6,indie,,,,
chicago indie,g6,indie,,,,
chihuahua indie,g6,indie,,,,
chilean indie,g6,indie,,,,
chinese indie,g6,indie,,,,
christchurch indie,g6,indie,,,,
christian indie,g6,indie,,,,
cincinnati indie,g6,indie,,,,
cologne indie,g6,indie,,,,
colombian indie,g6,indie,,,,
columbus ohio indie,g6,indie,,,,
concepcion indie,g6,indie,,,,
connecticut indie,g6,indie,,,,
cornwall indie,g6,indie,,,,
coventry indie,g6,indie,,,,
dalarna indie,g6,indie,,,,
dallas indie,g6,indie,,,,
dayton indie,g7,indie,,,,indie
dc indie,g6,indie,,,,
deep german indie,g6,indie,,,,
denton tx indie,g6,indie,,,,
denver indie,g6,indie,,,,
derby indie,g6,indie,,,,
devon indie,g6,indie,,,,
dominican indie,g6,indie,,,,
duluth indie,g6,indie,,,,
